id,name,category,website,status,sso_support,sso_tier,sso_source,sso_checked,sso_enforcement_support,sso_enforcement_tier,sso_enforcement_source,sso_enforcement_checked,scim_support,scim_tier,scim_source,scim_checked,mfa_enforcement_support,mfa_enforcement_tier,mfa_enforcement_source,mfa_enforcement_checked,phishing_resistant_mfa_support,phishing_resistant_mfa_tier,phishing_resistant_mfa_source,phishing_resistant_mfa_checked,audit_logs_support,audit_logs_tier,audit_logs_source,audit_logs_checked,jit_provisioning_support,jit_provisioning_tier,jit_provisioning_source,jit_provisioning_checked,domain_verification_support,domain_verification_tier,domain_verification_source,domain_verification_checked,custom_roles_support,custom_roles_tier,custom_roles_source,custom_roles_checked,group_role_mapping_support,group_role_mapping_tier,group_role_mapping_source,group_role_mapping_checked,session_controls_support,session_controls_tier,session_controls_source,session_controls_checked,api_token_controls_support,api_token_controls_tier,api_token_controls_source,api_token_controls_checked
1password,1Password,security,https://1password.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
activecampaign,ActiveCampaign,sales_marketing,https://www.activecampaign.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
adobe-creative-cloud,Adobe Creative Cloud,productivity,https://www.adobe.com/creativecloud.html,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
adp-workforce-now,ADP Workforce Now,hr,https://www.adp.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
airtable,Airtable,productivity,https://airtable.com,draft,supported,paid,,,unknown,,,,supported,enterprise,,,supported,paid,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
amazon-web-services-aws,Amazon Web Services (AWS),infrastructure,https://aws.amazon.com,draft,supported,free,,,unknown,,,,unknown,,,,supported,free,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
amplitude,Amplitude,productivity,https://amplitude.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
asana,Asana,productivity,https://asana.com,draft,supported,enterprise,,,unknown,,,,supported,enterprise,,,supported,free,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
atlassianconfluence,Atlassian Confluence,collaboration,https://atlassian.com/software/confluence,draft,supported,paid,,,unknown,,,,supported,paid,,,supported,free,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
atlassianjira,Atlassian Jira,development,https://atlassian.com/software/jira,draft,supported,paid,,,unknown,,,,supported,paid,,,supported,free,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
